year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house,filtered_tags,sold_year,year_built_scaled,sold_price_scaled,baths_full_scaled,lot_sqft_scaled,sqft_scaled,baths_scaled,stories_scaled,beds_scaled,list_price_scaled,price_per_sqft_scaled,age_of_house_scaled
1975.0,2024-01-08,172500.0,2.0,11326.0,1699.0,2.0,0.0,1.0,4.0,single_family,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'disability_features', 'dishwasher', 'energy_efficient', 'washer_dryer', 'single_story']",Montgomery,Alabama,169900.0,101.53031194820483,49.0,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'disability_features', 'dishwasher', 'energy_efficient', 'washer_dryer', 'single_story']",2024.0,0.26222813638170855,-0.5220960876054834,0.25835106014948794,-0.032697099129999775,-0.15773275201657697,0.9158011593537,0.6051788925132615,-0.1256781435304234,-0.5273545257446625,-0.48272636379166767,-0.2622281363817081
1962.0,2024-01-08,150000.0,2.0,67954.0,1833.0,2.0,2.0,1.0,3.0,single_family,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",Montgomery,Alabama,159000.0,81.83306055646482,62.0,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",2024.0,-0.4193756838162331,-1.1011054927457822,-1.0773560807063711,-0.03345573351544079,-1.290289372164372,-0.9965446490414971,-0.7956481421658727,-0.9561904116026017,-1.1056171462846258,-0.362466248569217,0.4193756838162335
1945.0,2024-01-08,170000.0,2.0,313632.0,3092.0,3.0,0.0,1.0,3.0,single_family,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'large_porch', 'big_lot']",Montgomery,Alabama,180000.0,54.980595084087966,79.0,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'front_porch', 'big_lot']",2024.0,-0.8453780714399466,-1.3748190297211962,0.25835106014948794,-0.03226366485665171,0.5522088835937018,-0.04037174484389854,-0.7956481421658727,0.7048341245417549,-1.3053805970166132,-1.3717183637942332,0.845378071439947
1957.0,2024-01-05,125000.0,1.0,12632.0,1380.0,1.0,0.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",Montgomery,Alabama,125000.0,90.57971014492753,67.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",2024.0,-0.4477758429911473,-0.995831055447546,-1.0773560807063711,-0.033022299242092726,-0.8200013558345141,-0.9965446490414971,-0.7956481421658727,-0.1256781435304234,-1.0004784880046325,-0.6225973560447906,0.44777584299114775
1984.0,2024-01-05,162000.0,2.0,6098.0,1539.0,2.0,0.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",Montgomery,Alabama,180000.0,105.26315789473684,40.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",2024.0,1.0574325932793072,-0.916875227473869,0.25835106014948794,-0.032805582105418694,-0.4759824507384261,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-0.8695808584460408,-0.7239383453606936,-1.0574325932793067
1950.0,2024-01-05,111200.0,2.0,8276.0,1178.0,2.0,0.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",Montgomery,Alabama,118900.0,94.39728353140917,74.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",2024.0,-0.8737782306148608,1.0833390811926176,0.25835106014948794,-0.03323901637876676,0.7016702805642868,-0.04037174484389854,0.6051788925132615,0.7048341245417549,1.076010013025236,0.27336611328742916,0.8737782306148613
1948.0,2024-01-05,63000.0,1.0,7405.0,1290.0,1.0,1.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",Montgomery,Alabama,65000.0,48.83720930232558,76.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",2024.0,0.8586314790549074,-1.3063906454773426,,-0.03378093362753374,-0.1551558313791531,-1.9527175532390957,,,-1.3106375299306128,-1.2277896172672145,-0.858631479054907
1964.0,2024-01-05,106000.0,2.0,16553.0,2349.0,2.0,0.0,1.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",Montgomery,Alabama,110000.0,45.12558535547041,60.0,"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",2024.0,-0.10697393289217652,-0.8647643810112421,0.25835106014948794,-0.032371899017906824,-0.006982894727280021,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-0.8427705005846425,-0.8614745097275566,0.10697393289217692
2001.0,2024-01-05,245000.0,2.0,6534.0,1742.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",Montgomery,Alabama,249000.0,140.64293915040184,23.0,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",2024.0,0.319028454731537,-0.3383921945200614,0.25835106014948794,-0.032371899017906824,-0.26982879974451573,-0.04037174484389854,0.6051788925132615,-0.1256781435304234,-0.34388756704607415,-0.23523136416030513,-0.31902845473153657
1989.0,2024-01-05,310000.0,3.0,22651.0,3137.0,3.0,0.0,1.0,4.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'golf_course_lot_or_frontage', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",Montgomery,Alabama,420000.0,98.8205291679949,35.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",2024.0,-1.2145801407138317,1.2938879557890897,0.25835106014948794,-0.03388941660295266,3.6599751723269005,0.9158011593537,2.006005927192396,0.7048341245417549,1.180622978013829,-0.5950352826042273,1.2145801407138321
