year_built,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,price_per_sqft,age_of_house,sold_year,year_built_scaled,sold_price_scaled,baths_full_scaled,lot_sqft_scaled,sqft_scaled,baths_scaled,stories_scaled,beds_scaled,list_price_scaled,price_per_sqft_scaled,age_of_house_scaled
1950.0,89500.0,1.0,9757.0,936.0,1.0,0.0,1.0,3.0,95.61965811965813,74.0,2024.0,,,,,,,,,,,
1940.0,705000.0,2.0,7349.0,1775.0,2.0,0.0,2.0,3.0,397.1830985915493,84.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,0.5178295689559367,0.6622413319996729,0.2583510601494879,-0.0343228508763007,2.191130408995289,1.8719740635512985,0.6051788925132615,0.7048341245417549,0.3400394050652825,-0.5445420043878498,-0.5178295689559362
,,,,,,,,,,,,-0.2773748879416619,-0.4852500345511008,-1.0773560807063711,-0.0349080617895697,-0.8032513716912588,-0.9965446490414972,0.6051788925132615,-0.9561904116026017,-0.4485005320346675,0.0653704460952741,0.2773748879416623
1967.0,189000.0,1.0,,855.0,1.0,1.0,1.0,1.0,221.05263157894737,57.0,2023.0,0.5462297281308509,0.1779789204277867,0.2583510601494879,-0.0336726994662786,-0.1744827361598322,-0.0403717448438985,-0.7956481421658727,-0.1256781435304234,0.2080903889238908,0.1962718635050459,-0.5462297281308505
1911.0,335000.0,1.0,6882.0,938.0,1.0,0.0,,2.0,357.1428571428572,113.0,2024.0,,,,,,,,,,,
1998.0,700000.0,2.0,50094.0,2857.0,3.0,2.0,2.0,3.0,245.01225061253064,26.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,-2.2937861893605724,0.3458916479184734,1.594058201005347,-0.0339976507642077,0.6720356932339122,0.9158011593537,0.6051788925132615,2.3658586606861114,0.3395137117738825,-0.209747232972835,2.293786189360573
,,,,,,,,,,,,0.7450308423552505,-0.3641844316581293,-1.0773560807063711,-0.0349112963736992,-0.948847387705708,-0.9965446490414972,0.6051788925132615,-0.9561904116026017,-0.2645078800446792,0.4350321670216381,-0.7450308423552501
,,,,,,,,,,,,0.8586314790549074,-0.179954166386216,1.594058201005347,-0.0330222992420927,0.4053244072605407,0.9158011593537,-0.7956481421658727,-0.1256781435304234,-0.1856538863346841,-0.463847650256609,-0.858631479054907
1931.0,310000.0,1.0,,714.0,1.0,0.0,1.0,1.0,434.1736694677872,93.0,2023.0,-0.1353740920670907,0.6096041133505549,1.594058201005347,-0.0332390163787667,-0.1113481805429471,0.9158011593537,-0.7956481421658727,0.7048341245417549,0.6501984469912628,0.5442665368641811,0.1353740920670911
1914.0,140000.0,1.0,1412.0,1101.0,1.0,0.0,2.0,3.0,127.15712988192551,110.0,2023.0,,,,,,,,,,,
,,,,,,,,,,,,-1.2429802998887458,0.0042760988856971,-1.0773560807063711,-0.0339327102674547,-0.3896556093847261,-0.0403717448438985,-0.7956481421658727,0.7048341245417549,-0.0016612343446958,0.2182034845141596,1.2429802998887465
,,,,,,,,,,,,-1.981384438436516,1.9781717982276248,1.594058201005347,-0.0329138162666738,3.40743694985936,1.8719740635512985,,1.535346392613933,1.9691629151137795,-0.3088428117866059,1.9813844384365165
2021.0,252000.0,2.0,16117.0,1635.0,3.0,1.0,2.0,3.0,154.12844036697248,3.0,2023.0,,,,,,,,,,,
