year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house
1940.0,2024-01-04,375000.0,3.0,30056.0,4483.0,4.0,2.0,2.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'tennis_court', 'new_roof', 'tennis']",Montgomery,Alabama,410000.0,83.64934195850992,84.0
2004.0,2024-01-04,320000.0,2.0,9583.0,2488.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'water_view', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'pond', 'clubhouse', 'trails', 'hoa', 'maintenance']",Montgomery,Alabama,334900.0,128.61736334405145,20.0
1971.0,2024-01-04,120000.0,2.0,10019.0,1747.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'single_story']",Montgomery,Alabama,119900.0,68.68918145392101,53.0
1994.0,2024-01-03,283000.0,2.0,13747.0,2069.0,2.0,2.0,1.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'fenced_yard', 'floor_plan', 'new_roof', 'shopping']",Montgomery,Alabama,289900.0,136.78105364910584,30.0
1994.0,2024-01-02,284500.0,2.0,15682.0,2124.0,2.0,,1.0,4.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'swimming_pool', 'floor_plan', 'big_lot', 'park', 'groundscare', 'maintenance', 'shopping']",Montgomery,Alabama,289900.0,133.94538606403015,30.0
1989.0,2024-01-02,160000.0,2.0,4792.0,1475.0,2.0,,1.0,2.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'jack_and_jill_bathroom', 'master_bedroom', 'two_master_suites', 'master_suite']",Montgomery,Alabama,175000.0,108.47457627118644,35.0
2022.0,2024-01-02,439900.0,3.0,4356.0,3050.0,4.0,2.0,2.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_bathroom', 'master_bedroom']",Montgomery,Alabama,439900.0,144.2295081967213,2.0
1968.0,2024-01-02,68250.0,2.0,18731.0,2556.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'community_outdoor_space', 'recreation_facilities', 'swimming_pool', 'single_story', 'investment_opportunity']",Montgomery,Alabama,101200.0,26.7018779342723,56.0
1987.0,2024-01-02,385000.0,3.0,29621.0,3288.0,4.0,2.0,2.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'granite_kitchen', 'updated_kitchen', 'private_backyard', 'vaulted_ceiling']",Montgomery,Alabama,399000.0,117.09245742092457,37.0
1978.0,2024-01-01,139900.0,2.0,26136.0,1500.0,2.0,,1.0,4.0,single_family,"['city_view', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",Montgomery,Alabama,139900.0,93.26666666666667,46.0
